symbol,count,probability,code,length
232,102,0.0004250000,01010100101,11
230,97,0.0004041667,01000101011,11
231,92,0.0003833333,00110101011,11
1,90,0.0003750000,00110101010,11
238,75,0.0003125000,111011010001,12
237,73,0.0003041667,111011010000,12
241,62,0.0002583333,110000100100,12
250,61,0.0002541667,100011010010,12
251,61,0.0002541667,100011010011,12
240,52,0.0002166667,011000111000,12
243,51,0.0002125000,010101001001,12
244,49,0.0002041667,010101001000,12
239,48,0.0002000000,010001010101,12
249,46,0.0001916667,010001010100,12
242,44,0.0001833333,000000010110,12
245,41,0.0001708333,000000010101,12
246,40,0.0001666667,000000010100,12
247,38,0.0001583333,1100001001011,13
254,33,0.0001375000,1100001001010,13
248,28,0.0001166667,0110001110011,13
253,23,0.0000958333,0000000101111,13
0,21,0.0000875000,01100011100101,14
252,21,0.0000875000,0000000101110,13
255,3,0.0000125000,01100011100100,14
