symbol,count,probability,code,length
47,1201,0.0050041667,10000010,8
111,1194,0.0049750000,10000011,8
127,1189,0.0049541667,1000010,7
134,1186,0.0049416667,10000110,8
101,1182,0.0049250000,10000111,8
99,1168,0.0048666667,1000100,7
119,1164,0.0048500000,10001010,8
145,1160,0.0048333333,10001011,8
94,1159,0.0048291667,10001100,8
103,1159,0.0048291667,10001101,8
132,1158,0.0048250000,10001110,8
138,1149,0.0047875000,10001111,8
52,1148,0.0047833333,1001000,7
93,1148,0.0047833333,10010010,8
54,1143,0.0047625000,10010011,8
88,1139,0.0047458333,1001010,7
53,1138,0.0047416667,10010110,8
97,1137,0.0047375000,10010111,8
85,1135,0.0047291667,1001100,7
56,1133,0.0047208333,10011010,8
60,1128,0.0047000000,10011011,8
104,1127,0.0046958333,10011100,8
86,1126,0.0046916667,10011101,8
141,1126,0.0046916667,10011110,8
137,1122,0.0046750000,10011111,8
58,1116,0.0046500000,1010000,7
49,1109,0.0046208333,10100010,8
136,1109,0.0046208333,10100011,8
83,1095,0.0045625000,10100100,8
3,1091,0.0045458333,10100101,8
51,1091,0.0045458333,10100110,8
79,1091,0.0045458333,10100111,8
50,1090,0.0045416667,1010100,7
112,1090,0.0045416667,10101010,8
59,1084,0.0045166667,10101011,8
64,1083,0.0045125000,10101100,8
142,1081,0.0045041667,10101101,8
55,1077,0.0044875000,10101110,8
